Frame Count,Customer ID,Spend Time,Gender,Emotion,Race,Age,Suspecious
135,0,5.4,Man,sad,asian,26,0
131,1,5.24,Man,sad,asian,26,0
124,2,4.96,Man,sad,asian,29,0
123,3,4.92,Man,sad,asian,29,0
111,4,4.44,Man,sad,asian,30,0
99,5,3.96,Man,sad,asian,28,0
94,6,3.76,Man,sad,asian,28,0
86,7,3.44,Man,sad,asian,28,0
85,8,3.4,Man,sad,asian,28,0
84,9,3.36,Man,sad,asian,28,0
83,10,3.32,Man,sad,asian,28,0
77,11,3.08,Man,sad,asian,28,0
74,12,2.96,Man,sad,asian,26,0
70,13,2.8,Man,sad,asian,25,0
68,14,2.72,Man,sad,asian,25,0
62,15,2.48,Man,happy,asian,25,0
31,16,1.24,Man,happy,middle eastern,25,0
30,17,1.2,Man,happy,middle eastern,25,0
16,18,0.64,Man,happy,middle eastern,30,0
15,19,0.6,Man,happy,middle eastern,30,0
2,20,0.08,Man,happy,middle eastern,26,0
1,21,0.04,Man,happy,middle eastern,30,0
