Frame Count,Customer ID,Spend Time,Gender,Emotion,Race,Age,Suspecious
1004,0,40.16,Man,neutral,latino hispanic,29,1
1002,1,40.08,Man,neutral,latino hispanic,29,1
991,2,39.64,Man,neutral,latino hispanic,29,1
390,3,15.6,Man,neutral,latino hispanic,30,1
384,4,15.36,Man,neutral,latino hispanic,30,1
379,5,15.16,Man,neutral,latino hispanic,30,1
378,6,15.12,Man,neutral,latino hispanic,30,1
370,7,14.8,Man,neutral,latino hispanic,30,1
365,8,14.6,Man,neutral,latino hispanic,30,1
360,9,14.4,Man,neutral,latino hispanic,30,1
356,10,14.24,Man,neutral,latino hispanic,30,1
347,11,13.88,Man,neutral,latino hispanic,30,1
345,12,13.8,Man,neutral,latino hispanic,30,1
337,13,13.48,Man,neutral,latino hispanic,30,1
334,14,13.36,Man,neutral,latino hispanic,30,1
333,15,13.32,Man,neutral,latino hispanic,30,1
310,16,12.4,Man,neutral,latino hispanic,30,1
309,17,12.36,Man,neutral,latino hispanic,30,1
306,18,12.24,Man,neutral,latino hispanic,30,1
304,19,12.16,Man,neutral,latino hispanic,30,1
277,20,11.08,Man,neutral,latino hispanic,30,1
276,21,11.04,Man,neutral,latino hispanic,33,1
273,22,10.92,Man,neutral,latino hispanic,33,1
272,23,10.88,Man,neutral,latino hispanic,33,1
264,24,10.56,Man,neutral,latino hispanic,33,1
263,25,10.52,Man,neutral,latino hispanic,33,1
258,26,10.32,Man,neutral,latino hispanic,33,1
257,27,10.28,Man,neutral,latino hispanic,33,1
253,28,10.12,Man,neutral,latino hispanic,33,1
247,29,9.88,Man,neutral,latino hispanic,30,1
246,30,9.84,Man,neutral,latino hispanic,30,1
241,31,9.64,Man,neutral,latino hispanic,33,1
238,32,9.52,Man,neutral,latino hispanic,33,1
229,33,9.16,Man,neutral,latino hispanic,32,1
227,34,9.08,Man,neutral,latino hispanic,32,1
223,35,8.92,Man,neutral,latino hispanic,32,1
214,36,8.56,Woman,neutral,latino hispanic,32,1
213,37,8.52,Woman,neutral,latino hispanic,32,1
207,38,8.28,Woman,neutral,latino hispanic,33,1
206,39,8.24,Woman,neutral,latino hispanic,33,1
199,40,7.96,Woman,neutral,latino hispanic,33,0
191,41,7.64,Woman,neutral,latino hispanic,33,0
187,42,7.48,Woman,neutral,latino hispanic,33,0
173,43,6.92,Woman,neutral,latino hispanic,33,0
165,44,6.6,Woman,neutral,latino hispanic,32,0
151,45,6.04,Woman,neutral,latino hispanic,32,0
150,46,6.0,Woman,neutral,latino hispanic,33,0
143,47,5.72,Woman,fear,latino hispanic,32,0
142,48,5.68,Woman,fear,latino hispanic,33,0
127,49,5.08,Woman,neutral,latino hispanic,33,0
123,50,4.92,Woman,neutral,latino hispanic,33,0
109,51,4.36,Woman,fear,latino hispanic,33,0
106,52,4.24,Woman,fear,latino hispanic,32,0
75,53,3.0,Woman,neutral,latino hispanic,33,0
73,54,2.92,Woman,neutral,latino hispanic,33,0
67,55,2.68,Woman,neutral,latino hispanic,33,0
65,56,2.6,Woman,neutral,latino hispanic,33,0
42,57,1.68,Woman,neutral,latino hispanic,32,0
38,58,1.52,Woman,neutral,latino hispanic,32,0
19,59,0.76,Woman,fear,latino hispanic,32,0
9,60,0.36,Woman,fear,latino hispanic,32,0
5,61,0.2,Woman,surprise,white,33,0
3,62,0.12,Woman,surprise,white,34,0
2,63,0.08,Woman,fear,latino hispanic,28,0
1,64,0.04,Woman,happy,white,33,0
